Date,Holiday
2021-01-01,Yılbaşı
2021-04-23,Ulusal Egemenlik ve Çocuk Bayramı
2021-05-01,Emek ve Dayanışma Günü
2021-05-12,Ramazan Bayramı Arefesi
2021-05-13,Ramazan Bayramı (1.Gün)
2021-05-14,Ramazan Bayramı (2.Gün)
2021-05-15,Ramazan Bayramı (3.Gün)
2021-05-19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2021-07-15,Demokrasi ve Özgürlükler Günü
2021-07-19,Kurban Bayramı Arefesi
2021-07-20,Kurban Bayramı (1.Gün)
2021-07-21,Kurban Bayramı (2.Gün)
2021-07-22,Kurban Bayramı (3.Gün)
2021-07-23,Kurban Bayramı (4.Gün)
2021-08-30,Zafer Bayramı
2021-10-28,Cumhuriyet Bayramı (Yarım Gün)
2021-10-29,Cumhuriyet Bayramı
2022-01-01,Yılbaşı
2022-01-20,Iran Gas
2022-01-21,Iran Gas
2022-01-22,Iran Gas
2022-01-23,Iran Gas
2022-01-24,Iran Gas
2022-01-25,Iran Gas
2022-01-26,Iran Gas
2022-01-27,Iran Gas
2022-01-28,Iran Gas
2022-01-30,Iran Gas
2022-04-23,Ulusal Egemenlik ve Çocuk Bayramı
2022-05-01,Emek ve Dayanışma Günü
2022-05-01,Ramazan Bayramı Arefesi
2022-05-02,Ramazan Bayramı (1.Gün)
2022-05-03,Ramazan Bayramı (2.Gün)
2022-05-04,Ramazan Bayramı (3.Gün)
2022-05-19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2022-07-08,Kurban Bayramı Arefesi
2022-07-09,Kurban Bayramı (1.Gün)
2022-07-10,Kurban Bayramı (2.Gün)
2022-07-11,Kurban Bayramı (3.Gün)
2022-07-12,Kurban Bayramı (4.Gün)
2022-07-15,Demokrasi ve Özgürlükler Günü
2022-08-30,Zafer Bayramı
2022-10-28,Cumhuriyet Bayramı (Yarım Gün)
2022-10-29,Cumhuriyet Bayramı
2023-01-01,Yılbaşı
2023-04-20,Ramazan Bayramı Arefesi
2023-04-21,Ramazan Bayramı (1.Gün)
2023-04-22,Ramazan Bayramı (2.Gün)
2023-04-23,Ulusal Egemenlik ve Çocuk Bayramı
2023-04-23,Ramazan Bayramı (3.Gün)
2023-05-01,Emek ve Dayanışma Günü
2023-05-19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2023-06-27,Kurban Bayramı Arefesi
2023-06-28,Kurban Bayramı (1.Gün)
2023-06-29,Kurban Bayramı (2.Gün)
2023-06-30,Kurban Bayramı (3.Gün)
2023-07-01,Kurban Bayramı (4.Gün)
2023-07-15,Demokrasi ve Özgürlükler Günü
2023-08-30,Zafer Bayramı
2023-10-28,Cumhuriyet Bayramı (Yarım Gün)
2023-10-29,Cumhuriyet Bayramı
